https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1633665600000,2021-10-08 04:00:00,LTC/USD,176.16,183.31,174.44,177.7,51653.113714,9178758.3069778
1633579200000,2021-10-07 04:00:00,LTC/USD,176.48,187.03,175.26,176.16,50188.2940451,8841169.878984816
1633492800000,2021-10-06 04:00:00,LTC/USD,171.69,183.0,171.69,176.48,28179.0582575,4973040.2012836
1633406400000,2021-10-05 04:00:00,LTC/USD,168.68,175.45,166.82,171.69,44729.2390999,7679563.06106183
1633320000000,2021-10-04 04:00:00,LTC/USD,165.85,170.37,161.53,168.68,39159.3547362,6605399.956902217
1633233600000,2021-10-03 04:00:00,LTC/USD,168.27,175.0,165.41,165.85,20760.0342756,3443051.6846082597
1633147200000,2021-10-02 04:00:00,LTC/USD,166.0,172.8,165.38,168.27,21685.7816329,3649066.4753680835
1633060800000,2021-10-01 04:00:00,LTC/USD,153.7,168.59,153.23,166.0,44345.4699191,7361348.006570601
1632974400000,2021-09-30 04:00:00,LTC/USD,150.8,154.81,149.34,153.7,40027.1466339,6152172.43763043
1632888000000,2021-09-29 04:00:00,LTC/USD,144.34,150.91,142.64,150.8,18405.7102405,2775581.1042674
1632801600000,2021-09-28 04:00:00,LTC/USD,147.27,148.89,139.9,144.34,53053.813851,7657787.49125334
1632715200000,2021-09-27 04:00:00,LTC/USD,153.01,154.1,144.34,147.27,39692.9755682,5845584.511928814
1632628800000,2021-09-26 04:00:00,LTC/USD,148.5,154.89,142.21,153.01,37352.3126162,5715277.353404761
1632542400000,2021-09-25 04:00:00,LTC/USD,154.38,155.76,146.65,148.5,34164.5353896,5073433.5053556
1632456000000,2021-09-24 04:00:00,LTC/USD,161.43,162.92,141.99,154.38,84115.9538952,12985820.962340975
1632369600000,2021-09-23 04:00:00,LTC/USD,161.37,166.77,157.4,161.43,36133.2080113,5832983.769264159
1632283200000,2021-09-22 04:00:00,LTC/USD,151.48,162.2,151.48,161.37,21370.925873,3448626.30812601
